city,lon,lat,temperature,humidity,cloudiness,wind speed
urengoy,78.37,65.96,53.39,61.0,0.0,8.77
jega,4.38,12.22,71.66,100.0,68.0,8.21
port lincoln,135.86,-34.72,62.3,79.0,44.0,28.79
havre-saint-pierre,-63.6,50.23,59.0,100.0,20.0,8.05
hirara,125.28,24.8,86.0,83.0,40.0,9.17
poum,20.71,41.28,54.92,100.0,80.0,1.95
kahului,-156.47,20.89,91.4,55.0,40.0,17.22
tiksi,128.87,71.64,42.86,79.0,80.0,10.45
bertinoro,12.13,44.15,71.6,93.0,0.0,4.7
chamba,76.12,32.56,61.85,91.0,100.0,1.72
svetlogorsk,59.15,53.14,53.6,81.0,0.0,8.95
itaituba,-55.99,-4.26,79.85,79.0,56.0,1.16
ironton,-82.68,38.54,75.2,83.0,1.0,6.93
shonguy,33.15,68.75,60.8,93.0,75.0,6.71
phalombe,35.65,-15.81,47.72,91.0,12.0,2.39
sechura,-80.82,-5.56,71.48,78.0,0.0,11.45
krasnoarmeysk,38.15,56.12,60.8,93.0,75.0,11.18
fare,-151.02,-16.7,80.39,96.0,44.0,11.12
mahanoro,48.8,-19.9,61.31,100.0,56.0,3.96
kuching,110.34,1.56,80.6,88.0,75.0,6.76
nome,-94.42,30.04,91.4,62.0,1.0,4.7
samfya,29.56,-11.37,55.73,72.0,0.0,12.8
najran,44.22,17.54,86.0,30.0,40.0,8.05
talnakh,88.39,69.49,45.47,68.0,0.0,10.67
vila velha,-38.6,-3.71,80.6,74.0,75.0,13.87
goderich,-81.71,43.74,73.91,83.0,56.0,5.97
tokmak,35.7,47.26,65.54,92.0,20.0,2.95
san andres,122.68,13.32,83.9,99.0,32.0,8.99
porto murtinho,-57.88,-21.7,63.47,72.0,20.0,15.59
pedernales,-80.05,0.07,74.9,81.0,68.0,6.76
porto tolle,12.32,44.95,73.4,78.0,0.0,2.24
akcakoca,31.12,41.09,63.74,84.0,0.0,2.17
awjilah,21.3,29.14,77.78,30.0,0.0,2.73
sembakung,117.25,3.82,77.42,96.0,80.0,2.73
chapais,-74.86,49.78,73.4,83.0,90.0,4.7
tommot,126.27,58.97,54.02,86.0,80.0,2.39
bahir dar,37.39,11.59,52.04,93.0,32.0,2.84
la joya,-97.03,19.61,79.31,36.0,0.0,2.17
moose factory,-80.61,51.26,64.4,82.0,90.0,3.36
yashalta,42.27,46.34,68.06,89.0,32.0,2.84
zhaotong,103.71,27.34,62.03,97.0,48.0,3.18
dongzhen,129.73,43.33,84.8,76.0,32.0,2.95
abonnema,6.79,4.71,75.2,100.0,40.0,5.53
paamiut,-49.67,61.99,41.42,94.0,8.0,11.23
lagoa,-8.45,37.14,66.2,68.0,0.0,4.7
haines junction,-137.51,60.75,72.74,26.0,0.0,4.29
leh,77.58,34.16,35.21,93.0,92.0,1.95
bonthe,-12.5,7.53,74.72,97.0,48.0,4.18
quilmana,-76.38,-12.95,60.41,87.0,12.0,1.95
nyurba,118.35,63.29,56.81,79.0,80.0,2.73
ponta delgada,-25.67,37.73,69.8,88.0,40.0,5.82
tongchuan,108.95,34.9,80.6,65.0,0.0,8.95
kruisfontein,24.73,-34.0,69.5,48.0,8.0,11.9
la ronge,-105.3,55.1,62.6,82.0,90.0,10.29
lorengau,147.27,-2.02,82.55,100.0,80.0,4.29
kaoma,24.8,-14.8,53.03,63.0,0.0,10.22
jacareacanga,-57.76,-6.22,78.59,80.0,0.0,2.06
nioro,-15.05,13.79,77.24,83.0,12.0,9.78
mandera,41.86,3.94,76.79,61.0,76.0,13.58
wajima,136.9,37.4,82.4,74.0,40.0,3.36
saint-joseph,6.97,43.56,75.2,77.0,0.0,4.7
taltal,-70.49,-25.41,52.58,91.0,44.0,0.6
wattegama,80.68,7.35,70.22,98.0,100.0,2.84
matagami,8.4,9.67,68.15,99.0,92.0,3.4
labuhan,115.51,-2.54,75.35,88.0,88.0,3.18
abu dhabi,54.37,24.47,93.2,52.0,0.0,5.82
ayagoz,80.43,47.96,42.86,89.0,0.0,4.07
tazovskiy,78.7,67.47,54.47,37.0,8.0,6.08
evanston,-87.69,42.04,75.2,83.0,90.0,4.7
tabuk,121.44,17.41,70.49,95.0,92.0,2.28
yinchuan,106.21,38.48,63.74,97.0,20.0,3.96
mizdah,12.98,31.45,89.39,23.0,80.0,11.45
klaksvik,-6.59,62.23,50.0,93.0,92.0,11.41
nizwa,57.53,22.93,82.55,46.0,76.0,4.63
goleta,-119.83,34.44,80.6,47.0,1.0,11.41
douentza,-2.95,15.01,79.04,76.0,0.0,3.29
rusape,32.12,-18.53,48.44,99.0,100.0,2.73
esperance,-61.45,10.24,80.6,83.0,40.0,6.93
aswan,32.9,24.09,89.6,25.0,0.0,6.93
